uuid,event_id,category,type,value,comment,to_ids,date
579b5e4c-1524-4836-8180-c4bbac1f3af3,99691,External analysis,comment,"vt","Source",0,20160729
579b5e4c-2820-4145-bc56-c4bbac1f3af3,99691,External analysis,comment,"HacKed","Campaign ID",0,20160729
579b5e4c-3694-4421-bcb8-c4bbac1f3af3,99691,External analysis,comment,"2016-07-27 12:48:50","Date Observed",0,20160729
579b5e4c-4178-4267-abea-c4bbac1f3af3,99691,External analysis,domain,"windowsupdating.ddns.net","Ports:1177",0,20160729
579b5e4c-6020-4a31-8f72-c4bbac1f3af3,99691,External analysis,sha1,"1fe5bbb19a399c1616df82157bf94950749832f2","",0,20160729
579b5e4c-8d2c-42b7-8189-c4bbac1f3af3,99691,External analysis,comment,"f34d5f2d4577ed6d9ceec516c1f5a744","Imphash",0,20160729
579b5e4c-bf6c-432d-a62e-c4bbac1f3af3,99691,External analysis,md5,"9bac64746f740791370303e42d0bc8c5","",0,20160729
579b5e4c-c38c-4ad1-ba5a-c4bbac1f3af3,99691,External analysis,sha256,"af5dbb2695b5d074f9b9467d5ebd1c62b1d78750012f433aaab2c42c341a2fcb","",0,20160729
579b5e4c-c398-422b-b980-c4bbac1f3af3,99691,External analysis,comment,"njRat","Rat Name",0,20160729
579b5e4c-dc80-429c-b5c6-c4bbac1f3af3,99691,External analysis,comment,"{""InstallFlag"": ""True"", ""RegistryValue"": ""34c407fb1bd20e5bc05825a63ffab07d"", ""Version"": ""0.7d"", ""InstallDir"": ""AppData"", ""NetworkSeparator"": ""|'|'|"", ""Date"": ""2016-07-27 12:48:50"", ""sha256"": ""af5dbb2695b5d074f9b9467d5ebd1c62b1d78750012f433aaab2c42c341a2fcb"", ""rat_name"": ""njRat"", ""imphash"": ""f34d5f2d4577ed6d9ceec516c1f5a744"", ""sha1"": ""1fe5bbb19a399c1616df82157bf94950749832f2"", ""md5"": ""9bac64746f740791370303e42d0bc8c5"", ""Origin"": ""vt"", ""Domain"": ""windowsupdating.ddns.net"", ""InstallName"": ""svchost.exe"", ""magic"": ""PE32 executable for MS Windows (GUI) Intel 80386 32-bit Mono/.Net assembly"", ""Campaign"": ""HacKed"", ""section_.TEXT"": ""676f01d57735605167f58e3e0a4aaef2"", ""section_.RSRC"": ""0243c9a7f8755f2c2b18037cdad6cc91"", ""compile_date"": ""2016-07-21 14:26:53"", ""Port"": ""1177"", ""section_.RELOC"": ""8f9fb76ec87ec8b0a5110a8a33506bf3""}","JSON config",0,20160729
