uuid,event_id,category,type,value,comment,to_ids,date
579b5e59-0000-466e-9701-c4c5ac1f3af3,99696,External analysis,comment,"f34d5f2d4577ed6d9ceec516c1f5a744","Imphash",0,20160729
579b5e59-0da4-4009-a24e-c4c5ac1f3af3,99696,External analysis,sha256,"ea3edc9a19ac756439578245234f7eb8f9d4830bcf6bac438ea52cc0dc68ac8b","",0,20160729
579b5e59-3b1c-4e0b-9ee5-c4c5ac1f3af3,99696,External analysis,comment,"2016-07-27 11:56:08","Date Observed",0,20160729
579b5e59-550c-42cd-a994-c4c5ac1f3af3,99696,External analysis,sha1,"b289bbffd11f45126f3c2922687f957ca332bfc5","",0,20160729
579b5e59-5e30-415e-a97a-c4c5ac1f3af3,99696,External analysis,domain,"xxx123456.ddns.net","Ports:5552",0,20160729
579b5e59-5f0c-430c-973b-c4c5ac1f3af3,99696,External analysis,md5,"543dcdd1b5e29e69f7b1d80195672c6a","",0,20160729
579b5e59-85bc-4cf7-be14-c4c5ac1f3af3,99696,External analysis,comment,"njRat","Rat Name",0,20160729
579b5e59-aef4-44b0-9ced-c4c5ac1f3af3,99696,External analysis,comment,"{""InstallFlag"": ""True"", ""RegistryValue"": ""f3e5974620d52f26d7721957f3dc821d"", ""Version"": ""0.7d"", ""InstallDir"": ""TEMP"", ""NetworkSeparator"": ""|'|'|"", ""Date"": ""2016-07-27 11:56:08"", ""sha256"": ""ea3edc9a19ac756439578245234f7eb8f9d4830bcf6bac438ea52cc0dc68ac8b"", ""rat_name"": ""njRat"", ""imphash"": ""f34d5f2d4577ed6d9ceec516c1f5a744"", ""sha1"": ""b289bbffd11f45126f3c2922687f957ca332bfc5"", ""md5"": ""543dcdd1b5e29e69f7b1d80195672c6a"", ""Origin"": ""vt"", ""Domain"": ""xxx123456.ddns.net"", ""InstallName"": ""deb see.exe"", ""magic"": ""PE32 executable for MS Windows (GUI) Intel 80386 32-bit Mono/.Net assembly"", ""Campaign"": ""HacKed"", ""section_.TEXT"": ""59cfa006f36b66ca83269efa1e5bff1c"", ""section_.RSRC"": ""0243c9a7f8755f2c2b18037cdad6cc91"", ""compile_date"": ""2016-07-26 23:30:44"", ""Port"": ""5552"", ""section_.RELOC"": ""bb6b8b1f25ff35bc899d87eb8954f0a6""}","JSON config",0,20160729
579b5e59-b350-47f9-89d2-c4c5ac1f3af3,99696,External analysis,comment,"HacKed","Campaign ID",0,20160729
579b5e59-ca40-47a6-aa70-c4c5ac1f3af3,99696,External analysis,comment,"vt","Source",0,20160729
